sequence,level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,table,class_term,id,path,semantic_path,legacy_semantic_path,abbreviation_path
1,1,C,,Accounting Entries,,1..*,,Root for XBRL GL. No entry made here.,cor,,Accounting Entries,CO23,/xbrli:xbrl/gl-cor:accountingEntries,$.cor_AccountingEntries,/xbrli:xbrl/gl-cor:accountingEntries,accountingEntries
137,2,C,,Entry_ Header,,0..*,,Parent for entry headers/journal entry headers.,cor,,Entry_ Header,CO23-03,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,$.cor_AccountingEntries.cor_EntryHeader,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader,entryHeader
138,3,A,,Date Posted,Date Time,0..1,,Date this entry was posted (validated) to the general ledger. May not represent the date of accounting significance which is represented by 'postingDate'.,cor,,Entry_ Header,CO22-01,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:datePosted,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:datePosted,datePosted
142,3,A,,Type Code,Token,0..1,,"One of the following enumerated list: adjusting, budget, comparative, external-accountant, standard, passed-adjusting, eliminating, proposed, recurring, reclassifying, simulated, tax, other",cor,,Entry_ Header,CO22-05,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeCode,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:typeCode,typeCode
146,3,A,,Header_ Entry Date,Date Time,0..1,,"Represents the actual date/time of entry into computer (automated from system date, often misrepresented by changing system clock). Posting dates are maintained separately.",cor,,Entry_ Header,CO22-09,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:headerEntryDate,$.cor_AccountingEntries.cor_EntryHeader.cor_HeaderEntryDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:headerEntryDate,headerEntryDate
149,3,A,,Entry Origin,String,0..1,,"Origin of entry: accrual, manual entry, imported entry, exchange gain or loss",cor,,Entry_ Header,CO22-12,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryOrigin,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryOrigin,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryOrigin,entryOrigin
150,3,A,,Entry ID,String,0..1,,Identifier within source journal,cor,,Entry_ Header,CO22-13,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryId,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryId,entryId
176,3,C,,Entry_ Detail,,0..*,,Parent for entry detail,cor,,Entry_ Detail,CO22-39,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail,entryDetail
177,4,A,PK,Line Number,String,0..1,,Identifier for a particular entry detail,cor,,Entry_ Detail,CO21-01,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumber,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_LineNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:lineNumber,lineNumber
190,4,A,,Description,String,0..1,,Description of this line of detail only,cor,,Entry_ Detail,CO21-13,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:headerDescription,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_Description,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:headerDescription,headerDescription
203,4,C,,Detail_ Multicurrency,,0..*,,Class to provide additional information related to home currencies that differ from original currencies and related exchange rates - typically this will be used to record exchange rates and amounts in currencies and/or on dates other than those of the original transaction. This class allows recording of exchange rates using a third currency as a triangulation currency. This is often EUR but is not restricted to being so. This class may be repeated as many times as necessary to record amounts in foreign currencies on the same or different dates.,muc,,Detail_ Multicurrency,CO21-20,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:detailMulticurrency,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail.cor_DetailMulticurrency,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-muc:detailMulticurrency,detailMulticurrency
