column,source_ordinal,source_column_letter,name,multiplicity,datatype,semantic_sort,id,path,semantic_path,structured_csv_column,fixed_value,mapping_status,migration_note
Column1,1,A,伝票日付,0..1,Date,5913,JP07a_GL03_03,/JP07a/JP07a_GL03_03,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,cor_DatePosted,,mapped,旧無名列の短縮semantic pathをsemanticPathおよび構造化CSV列名として採用
Column2,2,B,伝票番号,1..1,Identifier,5911,JP07a_GL03_01,/JP07a/JP07a_GL03_01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,cor_EntryID,,mapped,旧無名列の短縮semantic pathをsemanticPathおよび構造化CSV列名として採用
Column3,3,C,仕訳区分,1..1,Identifier,5921,GE23c_01,/JP07a/GE23c_01,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,cor_TypeCode,,mapped,旧無名列の短縮semantic pathをsemanticPathおよび構造化CSV列名として採用
Column4,4,D,管理仕訳区分,,,,,,,,,unmapped,semantic path未定義。標準LHM要素への対応付けが必要
Column5,5,E,借方税計算モード,,,,,,,,,unmapped,semantic path未定義。標準LHM要素への対応付けが必要
Column6,6,F,借方部門コード,1..1,Identifier,6076,BS04fb_01,/JP07a/JP08a/BS04fb/BS04fb_01,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column7,7,G,借方部門名,0..1,Name,6077,BS04fb_02,/JP07a/JP08a/BS04fb/BS04fb_02,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column8,8,H,借方科目コード,1..1,Identifier,5976,JP06e_GE24_01,/JP07a/JP08a/JP06e_GE24_01,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column9,9,I,借方科目名,0..1,Name,5977,JP06e_GE24_02,/JP07a/JP08a/JP06e_GE24_02,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column10,10,J,借方補助科目コード,0..1,Char,5984,JP05a_01,/JP07a/JP08a/JP05a/JP05a_01,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column11,11,K,借方補助科目名,0..1,Name,5985,JP05a_02,/JP07a/JP08a/JP05a/JP05a_02,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column12,12,L,借方税区分コード,1..1,Identifier,6017,JP02j_BS09_01,/JP07a/JP08a/JP02j_BS09_01,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
Column13,13,M,借方税区分名,0..1,Name,6018,JP02j_BS09_02,/JP07a/JP08a/JP02j_BS09_02,,,,extension_required,No corresponding element was confirmed in the current XBRL GL Next Accounting Entries HMD; define a JP extension or revise the mapping.
