column,name,multiplicity,datatype,semantic_sort,id,path,semantic_path,legacy_selector,fixed_value,legacy_sem_path,legacy_label_path,mapping_status,note
dColumn2,伝票,,,5910,JP07a,/JP07a,$.cor_AccountingEntries.cor_EntryHeader,JP04a_GL02_01='*',,/JP07a,$.JP Journal Entry,mapped,
dColumn27,明細行,1..*,,5943,JP08a,/JP07a/JP08a,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,[*],,/JP07a/JP08a,$.JP Journal Entry.JP Journal Entry Line,mapped,
dColumn6,借方部門,0..*,,6075,BS04fb,/JP07a/JP08a/BS04fb,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""D""]","[BS04c5_03=""department""]",,/JP07a/JP08a/BS04fb,$.JP Journal Entry.JP Journal Entry Line.(Debit) Business Segment,mapped,
dColumn10,借方補助科目,0..*,,5983,JP05a,/JP07a/JP08a/JP05a,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""D""]","[JP05a_03=""sub-account""]",,/JP07a/JP08a/JP05a,$.JP Journal Entry.JP Journal Entry Line.(Debit) JP Ledger Account.Subsidiary Ledger Account,mapped,
dColumn17,貸方部門,0..*,,6080,BS04fc,/JP07a/JP08a/BS04fc,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""C""]","[BS04c6_03=""department""]",,/JP07a/JP08a/BS04fc,$.JP Journal Entry.JP Journal Entry Line.(Credit) Business Segment,mapped,
dColumn21,貸方補助科目,0..*,,6033,JP05b,/JP07a/JP08a/JP05b,"$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator=""C""]","[JP05b_03=""sub-account""]",,/JP07a/JP08a/JP05b,$.JP Journal Entry.JP Journal Entry Line.(Credit) JP Ledger Account.Subsidiary Ledger Account,mapped,
Column1,伝票日付,0..1,Date,5913,JP07a_GL03_03,/JP07a/JP07a_GL03_03,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,,,/JP07a/JP07a_GL03_03,$.JP Journal Entry.Effective Date,mapped,
Column2,伝票番号,1..1,Identifier,5911,JP07a_GL03_01,/JP07a/JP07a_GL03_01,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,,/JP07a/JP07a_GL03_01,$.JP Journal Entry.ID,mapped,
Column3,仕訳区分,1..1,Identifier,5921,GE23c_01,/JP07a/GE23c_01,$.cor_AccountingEntries.cor_EntryHeader.cor_TypeCode,,,/JP07a/GE23c_01,$.JP Journal Entry.Journal Entry Type.Code,mapped,
Column4,管理仕訳区分,,,,,,,,,,,unmapped,
