Account_Code,Account_Name,Category,eTax_Account_Code,eTax_Account_Name,eTax_Category
100,現金,資産,10A100020-1,現金及び預金,流動資産
110,ABC銀行当座預金,資産,10A100020-2,現金及び預金,流動資産
111,DEF銀行当座預金,資産,10A100020-3,現金及び預金,流動資産
125,ABC銀行定期預金,資産,10A100020-4,現金及び預金,流動資産
130,受取手形,資産,10A100060,受取手形,流動資産
131,売掛金,資産,10A100090,売掛金,流動資産
153,未収入金,資産,10A100670,未収入金,流動資産
154,仮払金,資産,10A100850,仮払金,流動資産
160,建物,資産,10A210030,建物,有形固定資産
162,賃貸用機器,資産,10A210730,貸与資産,有形固定資産
164,車両運搬具,資産,10A210360,車両運搬具,有形固定資産
165,備品,資産,10A210410,工具、器具及び備品,有形固定資産
174,仮払消費税,資産,10A100010-1,仮払消費税,流動資産
201,買掛金,負債,10B100040,買掛金,流動負債
202,借入金,負債,10B100790,短期借入金,流動負債
204,未払金,負債,10B100630,未払金,流動負債
208,預り金,負債,10B100690,預り金,流動負債
214,仮受消費税,負債,10B100890,仮受消費税等,流動負債
461,仕入高,費用,10E100130,当期商品仕入高,売上原価
512,支払手数料,費用,10E200690,支払手数料,販売費及び一般管理費
521,接待交際費,費用,10E200150,交際費,販売費及び一般管理費
522,旅費・交通費,費用,10E201230,旅費及び交通費,販売費及び一般管理費
523,通信費,費用,10E200180,通信費,販売費及び一般管理費
525,消耗品費,費用,10E200200,消耗品費,販売費及び一般管理費
526,租税公課,費用,10E200210,租税公課,販売費及び一般管理費
528,地代・家賃,費用,10E200720,地代家賃,販売費及び一般管理費
529,修繕費,費用,10E200230,修繕費,販売費及び一般管理費
531,保険料,費用,10E200240,保険料,販売費及び一般管理費
600,受取利息,収益,10D200020,受取利息,営業外収益
701,固定資産譲渡収入,収益,10D300010-1,固定資産譲渡収入,特別利益
711,固定資産除却損,費用,10E400110,固定資産除却損,特別損失
712,固定資産譲渡費用,費用,10E400010-1,固定資産譲渡費用,特別損失
810,売上高,収益,10D100030,売上高,売上高
999,諸口,費用,10Z000000,費用,販売費及び一般管理費
