profile_version,application_tax_code,rate_pattern,rate_output,transaction_classification,uncl5153_tax_type,tax_type_placement_status,uncl5305_tax_category,tax_rate_ratio,tax_inclusion_mode,reverse_priority,mapping_status,source_status,note
uadc-jp-tax-standard-v2,00,^$,,,VAT,ADOPTED_ACCOUNTING_ENTRIES,O,,out-of-scope,1,ACCEPTED_EXPLICIT_OUT_OF_SCOPE,OFFICIAL_QA_2661,明示コード00=対象外。税コード欠損とは区別
uadc-jp-tax-standard-v2,01,^(?:10|10\.0)$,10,Sales,VAT,ADOPTED_ACCOUNTING_ENTRIES,S,0.10,tax-exclusive,1,ACCEPTED,OFFICIAL_R4,税抜課税売上。01と02の差はtraceへ保持
uadc-jp-tax-standard-v2,02,^(?:10|10\.0)$,10,Sales,VAT,ADOPTED_ACCOUNTING_ENTRIES,S,0.10,tax-inclusive,2,ACCEPTED,OFFICIAL_R4,税込課税売上。01と02の差はtraceへ保持
uadc-jp-tax-standard-v2,20,^$,,Sales,VAT,ADOPTED_ACCOUNTING_ENTRIES,E,,non-taxable,1,ACCEPTED,OFFICIAL_R4,非課税売上
uadc-jp-tax-standard-v2,30,^$,,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,E,,non-taxable,1,ACCEPTED,OFFICIAL_R4,非課税仕入
uadc-jp-tax-standard-v2,31,^(?:10|10\.0)$,10,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,S,0.10,tax-exclusive,1,ACCEPTED,OFFICIAL_R4,税抜課税仕入。31と32の差はtraceへ保持
uadc-jp-tax-standard-v2,31,^K8(?:\.0)?$,K8.0,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,AA,0.08,tax-exclusive,1,ACCEPTED,OFFICIAL_R4,税抜軽減税率仕入。K表記はtraceへ保持
uadc-jp-tax-standard-v2,32,^(?:10|10\.0)$,10,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,S,0.10,tax-inclusive,2,ACCEPTED,OFFICIAL_R4,税込課税仕入。31と32の差はtraceへ保持
uadc-jp-tax-standard-v2,32,^K8(?:\.0)?$,K8.0,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,AA,0.08,tax-inclusive,2,ACCEPTED,OFFICIAL_R4,税込軽減税率仕入。K表記はtraceへ保持
uadc-jp-tax-standard-v2,80,^$,,Sales,VAT,ADOPTED_ACCOUNTING_ENTRIES,O,,out-of-scope,1,REFERENCE_ONLY,OFFICIAL_R4,不課税売上
uadc-jp-tax-standard-v2,81,^$,,Purchase,VAT,ADOPTED_ACCOUNTING_ENTRIES,O,,out-of-scope,1,REFERENCE_ONLY,OFFICIAL_R4,不課税仕入
