Account_Code,Account_Name,Category,eTax_Account_Code,eTax_Account_Name,eTax_Category
111,現金,資産,10A100020-1,現金,流動資産
121,当座預金,資産,10A100020-2,当座預金,流動資産
131,普通預金,資産,10A100020-3,普通預金,流動資産
143,定期預金,資産,10A100020-5,定期預金,流動資産
148,定期積金,資産,10A100020-4,定期積金,流動資産
150,受取手形,資産,10A100060,受取手形,流動資産
151,電子記録債権,資産,10A100200,電子記録債権,流動資産
152,売掛金,資産,10A100090,売掛金,流動資産
159,貸倒引当金,資産,10A100040,貸倒引当金,流動資産
161,有価証券,資産,10A100230,有価証券,流動資産
171,商品,資産,10A100280,商品,流動資産
183,短期貸付金,資産,10A100610,短期貸付金,流動資産
191,仮払消費税等,資産,10A100850-1,仮払消費税等,流動資産
213,構築物,資産,10A210130,構築物,有形固定資産
216,工具器具備品,資産,10A210410,工具、器具及び備品,有形固定資産
232,電話加入権,資産,10A220190,電話加入権,無形固定資産
244,差入保証金,資産,10A100800,差入保証金,流動資産
248,保険積立金,資産,10A230570,保険積立金,投資その他の資産
249,敷金,資産,10A230650,敷金,投資その他の資産
301,支払手形,負債,10B100030,支払手形,流動負債
312,買掛金,負債,10B100040,買掛金,流動負債
321,短期借入金,負債,10B100790,短期借入金,流動負債
322,未払金,負債,10B100630,未払金,流動負債
326,預り金,負債,10B100690,預り金,流動負債
327,未払事業税等,負債,10B100670-1,未払事業税等,流動負債
328,未払法人税等,負債,10B100640,未払法人税等,流動負債
335,仮受消費税等,負債,10B100890,仮受消費税等,流動負債
336,未払消費税等,負債,10B100660,未払消費税等,流動負債
337,賞与引当金,負債,10B100320,賞与引当金,流動負債
341,長期借入金,負債,10B200080,長期借入金,固定負債
359,退職給付引当金,負債,10B200120,退職給付引当金,固定負債
360,役員退任慰労金,負債,10B200130,役員退職慰労引当金,固定負債
411,資本金,純資産,10C110010,資本金,資本金
421,資本準備金,純資産,10C120020,資本準備金,資本剰余金
431,利益準備金,純資産,10C130020,利益準備金,利益剰余金
432,別途積立金,純資産,10C130360,別途積立金,利益剰余金
437,繰越利益剰余金,純資産,10C130370,繰越利益剰余金,利益剰余金
511,売上高,収益,10D100100,総売上高,売上高
521,売上値引戻り高,費用,10D100110,売上値引及び戻り高,売上高
523,売上割戻し高,費用,10D100110-2,売上割戻し高,売上高
531,期首商品棚卸高,費用,10E100100,商品期首たな卸高,売上原価
541,商品仕入高,費用,10E100130,当期商品仕入高,売上原価
551,仕入値引戻し高,収益,10E100120,仕入値引及び戻し高,売上原価
561,期末商品棚卸高,費用,10E100140,商品期末たな卸高,売上原価
711,役員報酬,費用,10E200090,役員報酬,販売費及び一般管理費
712,給与手当,費用,10E200370,給料及び手当,販売費及び一般管理費
713,賞与,費用,10E200130,賞与,販売費及び一般管理費
721,雑給,費用,10E200520,雑給,販売費及び一般管理費
723,法定福利費,費用,10E200540,法定福利費,販売費及び一般管理費
724,福利厚生費,費用,10E200140,福利厚生費,販売費及び一般管理費
726,旅費交通費,費用,10E201230,旅費及び交通費,販売費及び一般管理費
727,通信費,費用,10E200180,通信費,販売費及び一般管理費
728,販売手数料,費用,10E200020,販売手数料,販売費及び一般管理費
731,運賃,費用,10E200870,運賃,販売費及び一般管理費
732,広告宣伝費,費用,10E200050,広告宣伝費,販売費及び一般管理費
733,交際接待費,費用,10E200150,交際費,販売費及び一般管理費
734,会議費,費用,10E201130,会議費,販売費及び一般管理費
736,水道光熱費,費用,10E201040,水道光熱費,販売費及び一般管理費
737,消耗品費,費用,10E200200,消耗品費,販売費及び一般管理費
738,租税公課,費用,10E200210,租税公課,販売費及び一般管理費
739,新聞図書費,費用,10E201160,図書費,販売費及び一般管理費
740,車両費,費用,10E201120,車両費,販売費及び一般管理費
741,支払手数料,費用,10E200690,支払手数料,販売費及び一般管理費
742,諸会費,費用,10E201140,諸会費,販売費及び一般管理費
744,リース料,費用,10E200730,借地借家料,販売費及び一般管理費
746,支払報酬,費用,10E200600,支払報酬,販売費及び一般管理費
747,地代家賃,費用,10E200720,地代家賃,販売費及び一般管理費
752,保険料,費用,10E200240,保険料,販売費及び一般管理費
753,修繕維持費,費用,10E201000,修繕維持費,販売費及び一般管理費
754,事務用消耗品費,費用,10E201110,事務用消耗品費,販売費及び一般管理費
763,減価償却費,費用,10E200220,減価償却費,販売費及び一般管理費
791,雑費,費用,10E201270,雑費,販売費及び一般管理費
821,支払利息,費用,10E300020,支払利息,営業外費用
951,法人税、住民税及び事業税（概算）,費用,10F100070,法人税、住民税及び事業税,その他
