sequence,level,type,name,datatype,multiplicity,column,semantic_path,occurrence_mode,group_key,row_role,max_occurs,default_value,transformation,required,note
1,1,C,accountingEntries,,1..*,,$.cor_AccountingEntries,single,,group,,,,,XBRL GL Next会計仕訳ルート。
137,2,C,entryHeader,,0..*,,$.cor_AccountingEntries.cor_EntryHeader,keyed_rows,"[""C1"",""C2""]",group,,,,true,PCA EntryHeader identity uses physical date plus voucher number.
138,3,A,entryDatePosted,Date Time,0..1,C1,$.cor_AccountingEntries.cor_EntryHeader.cor_DatePosted,,,,,,iso_date_to_yyyymmdd,true,PCA physical YYYYMMDD to semantic ISO date
150,3,A,entryId,String,0..1,C2,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryID,,,,,,,true,仕訳group_keyの値でもある。 物理列=Column2、ordinal=2。
176,3,C,entryDetail,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail,source_rows,,driver,,,,true,元CSVにEntryDetail列はない。各PCA入力行につき共通テンプレートを1件作り、selector付きの側別子行からD/CのEntryDetail occurrenceを生成する。
387,4,A,debitCreditIndicator,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DebitCreditIndicator,,,,,D,,true,Flat CSVに対応列がないため定数Dを設定する。Detail selectorと同じ値。
362,4,C,detailAccountIdentifier,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier,single,,group,,,,,最新版Accounting Entries HMD（398行）に解決済み。条件predicateはBinding情報でありHMD照合時に除去する。
377,5,C,subaccount,,0..*,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'],single,,group,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。
380,6,A,type,Token,0..1,,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_Type,,,,,department,,true,部門を識別するプロファイル値departmentをdefault_valueから生成する。predicateはBinding情報でありHMD照合時に除去する。
379,6,A,subaccountId,String,0..1,C6,$.cor_AccountingEntries.cor_EntryHeader.cor_EntryDetail[cor_DebitCreditIndicator='D'].cor_DetailAccountIdentifier.cor_Subaccount[cor_Type='department'].cor_SubaccountID,,,,,,,,最新版HMDのSubaccount枝に解決済み。Type='department'で部門occurrenceを識別する。 物理列=Column6、ordinal=6。
