sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value,transformation,required,note
1,0000,1,1,C,,Invoice,,1..1,,"Project-defined Invoice in the Invoice context, represented as structured information.",en16931,Invoice,BG-ROOT,$.invoice,,,Invoice,rsm:CrossIndustryInvoice,/rsm:CrossIndustryInvoice,,,true,
2,0000.0002.0001,2,2,A,,Invoice number,Identifier,1..1,,"Project-defined Invoice number in the Invoice context, represented as Identifier.",en16931,Invoice,BT-1,$.invoice.invoiceNumber,,,InvoiceNumber,ram:ID,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:ID,,,true,
3,0000.0002.0003.0001,2,2,A,,Invoice issue date,Date,1..1,,"Project-defined Invoice issue date in the Invoice context, represented as Date.",en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,,,InvoiceIssueDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:IssueDateTime/udt:DateTimeString,,CII_DATE_102,true,
4,0000.0002.0002,2,2,A,,Invoice type code,Code,1..1,,"Project-defined Invoice type code in the Invoice context, represented as Code.",en16931,Invoice,BT-3,$.invoice.invoiceTypeCode,,,InvoiceTypeCode,ram:TypeCode,/rsm:CrossIndustryInvoice/rsm:ExchangedDocument/ram:TypeCode,,,true,
5,0000.0003.0004.0004,2,2,A,,Document currency code,Code,1..1,,"Project-defined Document currency code in the Invoice context, represented as Code.",en16931,Invoice,BT-5,$.invoice.documentCurrencyCode,,,DocumentCurrencyCode,ram:InvoiceCurrencyCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:InvoiceCurrencyCode,,,true,
6,0000.0003.0004.0003,2,2,A,,Tax accounting currency code,Code,0..1,,"Project-defined Tax accounting currency code in the Invoice context, represented as Code.",en16931,Invoice,BT-6,$.invoice.taxAccountingCurrencyCode,,,TaxAccountingCurrencyCode,ram:TaxCurrencyCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:TaxCurrencyCode,,,false,
7,0000.0003.0004.0007.0007.0001,2,2,A,,Value added tax point date,Date,0..1,,"Project-defined Value added tax point date in the Invoice context, represented as Date.",en16931,Invoice,BT-7,$.invoice.valueAddedTaxPointDate,,,ValueAddedTaxPointDate,udt:DateString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:TaxPointDate/udt:DateString,,CII_DATE_102,false,
8,0000.0003.0004.0007.0008,2,2,A,,Value added tax point date code,Code,0..1,,"Project-defined Value added tax point date code in the Invoice context, represented as Code.",en16931,Invoice,BT-8,$.invoice.valueAddedTaxPointDateCode,,,ValueAddedTaxPointDateCode,ram:DueDateTypeCode,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:ApplicableTradeTax/ram:DueDateTypeCode,,UNCL2005_TO_UNCL2475,false,
9,0000.0003.0004.0010.0002.0001,2,2,A,,Payment due date,Date,0..1,,"Project-defined Payment due date in the Invoice context, represented as Date.",en16931,Invoice,BT-9,$.invoice.paymentDueDate,,,PaymentDueDate,udt:DateTimeString,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeSettlement/ram:SpecifiedTradePaymentTerms/ram:DueDateDateTime/udt:DateTimeString,,CII_DATE_102,false,
10,0000.0003.0002.0001,2,2,A,,Buyer reference,Text,0..1,,"Project-defined Buyer reference in the Invoice context, represented as Text.",en16931,Invoice,BT-10,$.invoice.buyerReference,,,BuyerReference,ram:BuyerReference,/rsm:CrossIndustryInvoice/rsm:SupplyChainTradeTransaction/ram:ApplicableHeaderTradeAgreement/ram:BuyerReference,,,false,
