concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-04-01,1,,,,"[""20210401"",""18""]",
cor:entryId,,18,1,,,,"[""20210401"",""18""]",
cor:amountOfTaxes,iso4217:JPY,1772,1,,1,1-D,"[""20210401"",""18""]",
cor:taxCategory,,S,1,,1,1-D,"[""20210401"",""18""]",
cor:accountNumber,,10E201230,1,1,,1-D,"[""20210401"",""18""]",
cor:accountDescription,,旅費及び交通費,1,1,,1-D,"[""20210401"",""18""]",
cor:subaccountDescription,,札幌営業所,1,1,,1-D,"[""20210401"",""18""]",department
cor:subaccountId,,010,1,1,,1-D,"[""20210401"",""18""]",department
cor:type,,department,1,1,,1-D,"[""20210401"",""18""]",department
cor:detailDescription,,旅費,1,,,1-D,"[""20210401"",""18""]",
cor:monetaryAmount,iso4217:JPY,19500,1,,,1-D,"[""20210401"",""18""]",
cor:debitCreditIndicator,,D,1,,,1-D,"[""20210401"",""18""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,1-C,"[""20210401"",""18""]",
cor:taxCategory,,O,1,,1,1-C,"[""20210401"",""18""]",
cor:accountNumber,,10A100020,1,1,,1-C,"[""20210401"",""18""]",
cor:accountDescription,,現金,1,1,,1-C,"[""20210401"",""18""]",
cor:subaccountDescription,,共通部門,1,1,,1-C,"[""20210401"",""18""]",department
cor:subaccountId,,000,1,1,,1-C,"[""20210401"",""18""]",department
cor:type,,department,1,1,,1-C,"[""20210401"",""18""]",department
cor:detailDescription,,旅費,1,,,1-C,"[""20210401"",""18""]",
cor:monetaryAmount,iso4217:JPY,19500,1,,,1-C,"[""20210401"",""18""]",
cor:debitCreditIndicator,,C,1,,,1-C,"[""20210401"",""18""]",
cor:entryDatePosted,,2021-04-01,1,,,,"[""20210401"",""246""]",
cor:entryId,,246,1,,,,"[""20210401"",""246""]",
cor:amountOfTaxes,iso4217:JPY,909,1,,1,2-D,"[""20210401"",""246""]",
cor:taxCategory,,S,1,,1,2-D,"[""20210401"",""246""]",
cor:accountNumber,,10E201230,1,1,,2-D,"[""20210401"",""246""]",
cor:accountDescription,,旅費及び交通費,1,1,,2-D,"[""20210401"",""246""]",
cor:subaccountDescription,,名古屋支店,1,1,,2-D,"[""20210401"",""246""]",department
cor:subaccountId,,030,1,1,,2-D,"[""20210401"",""246""]",department
cor:type,,department,1,1,,2-D,"[""20210401"",""246""]",department
cor:detailDescription,,旅費,1,,,2-D,"[""20210401"",""246""]",
cor:monetaryAmount,iso4217:JPY,10000,1,,,2-D,"[""20210401"",""246""]",
cor:debitCreditIndicator,,D,1,,,2-D,"[""20210401"",""246""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,2-C,"[""20210401"",""246""]",
cor:taxCategory,,O,1,,1,2-C,"[""20210401"",""246""]",
cor:accountNumber,,10A100020,1,1,,2-C,"[""20210401"",""246""]",
cor:accountDescription,,現金,1,1,,2-C,"[""20210401"",""246""]",
cor:subaccountDescription,,共通部門,1,1,,2-C,"[""20210401"",""246""]",department
cor:subaccountId,,000,1,1,,2-C,"[""20210401"",""246""]",department
cor:type,,department,1,1,,2-C,"[""20210401"",""246""]",department
cor:detailDescription,,旅費,1,,,2-C,"[""20210401"",""246""]",
cor:monetaryAmount,iso4217:JPY,10000,1,,,2-C,"[""20210401"",""246""]",
cor:debitCreditIndicator,,C,1,,,2-C,"[""20210401"",""246""]",
cor:entryDatePosted,,2021-04-02,1,,,,"[""20210402"",""19""]",
cor:entryId,,19,1,,,,"[""20210402"",""19""]",
cor:amountOfTaxes,iso4217:JPY,1000,1,,1,3-D,"[""20210402"",""19""]",
cor:taxCategory,,S,1,,1,3-D,"[""20210402"",""19""]",
cor:accountNumber,,10E201230,1,1,,3-D,"[""20210402"",""19""]",
cor:accountDescription,,旅費及び交通費,1,1,,3-D,"[""20210402"",""19""]",
cor:subaccountDescription,,札幌営業所,1,1,,3-D,"[""20210402"",""19""]",department
cor:subaccountId,,010,1,1,,3-D,"[""20210402"",""19""]",department
cor:type,,department,1,1,,3-D,"[""20210402"",""19""]",department
cor:detailDescription,,旅費,1,,,3-D,"[""20210402"",""19""]",
cor:monetaryAmount,iso4217:JPY,11000,1,,,3-D,"[""20210402"",""19""]",
cor:debitCreditIndicator,,D,1,,,3-D,"[""20210402"",""19""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,3-C,"[""20210402"",""19""]",
cor:taxCategory,,O,1,,1,3-C,"[""20210402"",""19""]",
cor:accountNumber,,10A100020,1,1,,3-C,"[""20210402"",""19""]",
cor:accountDescription,,現金,1,1,,3-C,"[""20210402"",""19""]",
cor:subaccountDescription,,共通部門,1,1,,3-C,"[""20210402"",""19""]",department
cor:subaccountId,,000,1,1,,3-C,"[""20210402"",""19""]",department
