relative_path,sha256,bytes,dataset_id,period,source_authority,license,generator,validation_status
manifests/PROVENANCE.json,FE9F67E0A98FF70862B69C463EFE8AC92512752490486318F66B0E9514BA74B6,1402,pca-synthetic-fy2021-v1,2021-04/2022-03,project-authored synthetic data and model publication record,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_REVALIDATED_SIBLING_TAXONOMY_LAYOUT_20260911
../../../models/xbrl-gl-next/accounts-period-balances/README.md,D64F2A649B47E36EF2CCC32989D2D06168A303C549422D5BF8504CFF1F5318F8,1934,pca-synthetic-fy2021-v1,2021-04/2022-03,user-designed model using ISO 21378 as reference; FDIS source excluded,repository content license,manual controlled publication,PASS_REVIEWED_LAYOUT_AND_REGENERATION_DISCLOSURE
../../../models/xbrl-gl-next/accounts-period-balances/MODEL_MANIFEST.csv,33515B51EDA4D74BE978146D2544433ACE9EC531215AC7FFC433820B82CF25A0,888,pca-synthetic-fy2021-v1,2021-04/2022-03,user-designed model manifest; FDIS source excluded,repository content license,manual controlled publication,PASS_DEPENDENCY_RECORD_UPDATED
../../../models/xbrl-gl-next/accounts-period-balances/hmd/ISO21378_GL_ACCOUNTS_PERIOD_BALANCE_HMD.csv,69628A0A6A3B5B0193B62023ECB32C53F8D50AAF40C543E27BCB157757F59C64,11692,pca-synthetic-fy2021-v1,2021-04/2022-03,user-designed HMD using ISO 21378 as reference; FDIS source excluded,repository content license,manual controlled publication,PASS_REUSED_SEMANTIC_INVARIANT_20260911_0754
../../../models/xbrl-gl-next/accounts-period-balances/bindings/flat-csv/PCA_SYNTHETIC_OPENING_BALANCES_FLAT_CSV_BINDING.csv,D6F69AFDAA85573247861AA2FA2A6A8463C99703BBDA0ED798E4E733FCAF489C,13734,pca-synthetic-fy2021-v1,2021-04,project-authored public synthetic Binding,repository content license,manual controlled publication,PASS_REUSED_20260907_0744
../../../../XBRL_GL_Next/taxonomy/accounting-entries/oim/cor_accountingEntries/cor-all-oim-2026-12-31.xsd,3D5490BE15B6884EC0DB069D1813938F7110E50E1A86D73A2DED66FCBCC41251,34860,pca-synthetic-fy2021-v1,2021-04/2022-03,XBRL GL Next accepted Accounting Entries split successor; origin/main commit fe1d9573f86267218dff152ad2e70a4600161e99,XBRL_GL_Next repository notices apply,XBRL_GL_Next/tools/taxonomy/xBRLGL_TaxonomyGenerator.py,PASS_ARELLE_12_OF_12_SIBLING_LAYOUT_20260911
original/pca/PCA_synthetic_2021-04.csv,4E3CB5A826021FEFFCA437C7B1110D6BA382DC9AE5DFF777A4F5E951A3327D10,37478,pca-synthetic-fy2021-v1,2021-04,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
original/pca/PCA_SYNTHETIC_ACCOUNT_MASTER.csv,AF8F30AC0E87B9BDC8F4336683A6D82E8F62360FCD1FA2E848CB40994C5D0715,2838,pca-synthetic-fy2021-v1,2021-04/2022-03,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
original/pca/PCA_SYNTHETIC_OPENING_BALANCES_2021-04-01.csv,1C814EB1EE241DF87A25D2A31DEA9E62D09512A8BE5B4D33A3B69E7E65F6B46C,6894,pca-synthetic-fy2021-v1,2021-04,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS
README.md,942068E5C91AD902EBE7212F271A82F1BEF0CD9EC3603FA91846C02AA1C35EC7,1399,pca-synthetic-fy2021-v1,2021-04/2022-03,project-authored synthetic data,repository content license,tools/generate_pca_synthetic_evaluation_dataset.py,PASS_SIBLING_REPOSITORY_LAYOUT_DOCUMENTED
