concept,unit,value,d_cor_accountingEntries,d_cor_detailAccountIdentifier,d_cor_detailTax,d_cor_entryDetail,d_cor_entryHeader,d_cor_subaccount
cor:entryDatePosted,,2021-10-01,1,,,,"[""20211001"",""900367""]",
cor:entryId,,900367,1,,,,"[""20211001"",""900367""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,634-D,"[""20211001"",""900367""]",
cor:taxCategory,,00,1,,1,634-D,"[""20211001"",""900367""]",
cor:accountNumber,,2000,1,1,,634-D,"[""20211001"",""900367""]",
cor:accountDescription,,Demo Accounts Payable,1,1,,634-D,"[""20211001"",""900367""]",
cor:subaccountDescription,,Demo Sales,1,1,,634-D,"[""20211001"",""900367""]",department
cor:subaccountDescription,,Demo Vendor Rivulet,1,1,,634-D,"[""20211001"",""900367""]",auxiliary-account
cor:subaccountId,,D01,1,1,,634-D,"[""20211001"",""900367""]",department
cor:subaccountId,,V008,1,1,,634-D,"[""20211001"",""900367""]",auxiliary-account
cor:type,,department,1,1,,634-D,"[""20211001"",""900367""]",department
cor:type,,auxiliary-account,1,1,,634-D,"[""20211001"",""900367""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,634-D,"[""20211001"",""900367""]",
cor:monetaryAmount,iso4217:JPY,146200,1,,,634-D,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,D,1,,,634-D,"[""20211001"",""900367""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,634-C,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,C,1,,,634-C,"[""20211001"",""900367""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,635-D,"[""20211001"",""900367""]",
cor:taxCategory,,00,1,,1,635-D,"[""20211001"",""900367""]",
cor:accountNumber,,2100,1,1,,635-D,"[""20211001"",""900367""]",
cor:accountDescription,,Demo Accrued Payables,1,1,,635-D,"[""20211001"",""900367""]",
cor:subaccountDescription,,Demo Sales,1,1,,635-D,"[""20211001"",""900367""]",department
cor:subaccountDescription,,Demo Vendor Keystone,1,1,,635-D,"[""20211001"",""900367""]",auxiliary-account
cor:subaccountId,,D01,1,1,,635-D,"[""20211001"",""900367""]",department
cor:subaccountId,,V001,1,1,,635-D,"[""20211001"",""900367""]",auxiliary-account
cor:type,,department,1,1,,635-D,"[""20211001"",""900367""]",department
cor:type,,auxiliary-account,1,1,,635-D,"[""20211001"",""900367""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,635-D,"[""20211001"",""900367""]",
cor:monetaryAmount,iso4217:JPY,341150,1,,,635-D,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,D,1,,,635-D,"[""20211001"",""900367""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,635-C,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,C,1,,,635-C,"[""20211001"",""900367""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,636-D,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,D,1,,,636-D,"[""20211001"",""900367""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,636-C,"[""20211001"",""900367""]",
cor:taxCategory,,00,1,,1,636-C,"[""20211001"",""900367""]",
cor:accountNumber,,1110,1,1,,636-C,"[""20211001"",""900367""]",
cor:accountDescription,,Demo North Current Deposit,1,1,,636-C,"[""20211001"",""900367""]",
cor:subaccountDescription,,Demo Sales,1,1,,636-C,"[""20211001"",""900367""]",department
cor:subaccountDescription,,North Demo Bank,1,1,,636-C,"[""20211001"",""900367""]",auxiliary-account
cor:subaccountId,,D01,1,1,,636-C,"[""20211001"",""900367""]",department
cor:subaccountId,,B002,1,1,,636-C,"[""20211001"",""900367""]",auxiliary-account
cor:type,,department,1,1,,636-C,"[""20211001"",""900367""]",department
cor:type,,auxiliary-account,1,1,,636-C,"[""20211001"",""900367""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,636-C,"[""20211001"",""900367""]",
cor:monetaryAmount,iso4217:JPY,341140,1,,,636-C,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,C,1,,,636-C,"[""20211001"",""900367""]",
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,637-D,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,D,1,,,637-D,"[""20211001"",""900367""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,637-C,"[""20211001"",""900367""]",
cor:taxCategory,,00,1,,1,637-C,"[""20211001"",""900367""]",
cor:accountNumber,,1120,1,1,,637-C,"[""20211001"",""900367""]",
cor:accountDescription,,Demo Harbor Ordinary Deposit,1,1,,637-C,"[""20211001"",""900367""]",
cor:subaccountDescription,,Demo Sales,1,1,,637-C,"[""20211001"",""900367""]",department
cor:subaccountDescription,,Harbor Demo Bank,1,1,,637-C,"[""20211001"",""900367""]",auxiliary-account
cor:subaccountId,,D01,1,1,,637-C,"[""20211001"",""900367""]",department
cor:subaccountId,,B003,1,1,,637-C,"[""20211001"",""900367""]",auxiliary-account
cor:type,,department,1,1,,637-C,"[""20211001"",""900367""]",department
cor:type,,auxiliary-account,1,1,,637-C,"[""20211001"",""900367""]",auxiliary-account
cor:detailDescription,,Synthetic demo multi-vendor settlement 900367,1,,,637-C,"[""20211001"",""900367""]",
cor:monetaryAmount,iso4217:JPY,146210,1,,,637-C,"[""20211001"",""900367""]",
cor:debitCreditIndicator,,C,1,,,637-C,"[""20211001"",""900367""]",
cor:entryDatePosted,,2021-10-01,1,,,,"[""20211001"",""900399""]",
cor:entryId,,900399,1,,,,"[""20211001"",""900399""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,638-D,"[""20211001"",""900399""]",
cor:taxCategory,,00,1,,1,638-D,"[""20211001"",""900399""]",
cor:accountNumber,,1400,1,1,,638-D,"[""20211001"",""900399""]",
cor:accountDescription,,Demo Prepaid Expenses,1,1,,638-D,"[""20211001"",""900399""]",
cor:subaccountDescription,,Demo Digital Services,1,1,,638-D,"[""20211001"",""900399""]",department
cor:subaccountDescription,,Demo Logistics Services,1,1,,638-D,"[""20211001"",""900399""]",auxiliary-account
cor:subaccountId,,D05,1,1,,638-D,"[""20211001"",""900399""]",department
cor:subaccountId,,S004,1,1,,638-D,"[""20211001"",""900399""]",auxiliary-account
cor:type,,department,1,1,,638-D,"[""20211001"",""900399""]",department
cor:type,,auxiliary-account,1,1,,638-D,"[""20211001"",""900399""]",auxiliary-account
cor:detailDescription,,Synthetic demo prepaid service 900399,1,,,638-D,"[""20211001"",""900399""]",
cor:monetaryAmount,iso4217:JPY,202420,1,,,638-D,"[""20211001"",""900399""]",
cor:debitCreditIndicator,,D,1,,,638-D,"[""20211001"",""900399""]",
cor:amountOfTaxes,iso4217:JPY,0,1,,1,638-C,"[""20211001"",""900399""]",
cor:taxCategory,,00,1,,1,638-C,"[""20211001"",""900399""]",
cor:accountNumber,,1100,1,1,,638-C,"[""20211001"",""900399""]",
cor:accountDescription,,Demo Central Ordinary Deposit,1,1,,638-C,"[""20211001"",""900399""]",
cor:subaccountDescription,,Demo Digital Services,1,1,,638-C,"[""20211001"",""900399""]",department
cor:subaccountDescription,,Demo Central Bank,1,1,,638-C,"[""20211001"",""900399""]",auxiliary-account
cor:subaccountId,,D05,1,1,,638-C,"[""20211001"",""900399""]",department
cor:subaccountId,,B001,1,1,,638-C,"[""20211001"",""900399""]",auxiliary-account
cor:type,,department,1,1,,638-C,"[""20211001"",""900399""]",department
cor:type,,auxiliary-account,1,1,,638-C,"[""20211001"",""900399""]",auxiliary-account
cor:detailDescription,,Synthetic demo prepaid service 900399,1,,,638-C,"[""20211001"",""900399""]",
cor:monetaryAmount,iso4217:JPY,202420,1,,,638-C,"[""20211001"",""900399""]",
cor:debitCreditIndicator,,C,1,,,638-C,"[""20211001"",""900399""]",
cor:entryDatePosted,,2021-10-02,1,,,,"[""20211002"",""900385""]",
cor:entryId,,900385,1,,,,"[""20211002"",""900385""]",
cor:amountOfTaxes,iso4217:JPY,3333,1,,1,639-D,"[""20211002"",""900385""]",
cor:taxCategory,,Q5,1,,1,639-D,"[""20211002"",""900385""]",
cor:accountNumber,,5010,1,1,,639-D,"[""20211002"",""900385""]",
