dInvoice,dSellerIdentifier,dBuyerIdentifier,dPaymentInstructions,dCreditTransfer,dDocumentLevelAllowances,dDocumentLevelCharges,dVatBreakdown,dInvoiceLine,dInvoiceLineAllowances,dInvoiceLineCharges,InvoiceNumber,InvoiceIssueDate,InvoiceTypeCode,DocumentCurrencyCode,PaymentDueDate,BuyerReference,PaymentTerms,BusinessProcessType,SpecificationIdentifier,SellerName,SellerTradingName,SellerIdentifierIdentifier,SellerLegalRegistrationIdentifier,SellerVatIdentifier,SellerAddressLine1,SellerAddressLine3,SellerCity,SellerPostCode,SellerCountryCode,BuyerName,BuyerTradingName,BuyerIdentifierIdentifier,BuyerLegalRegistrationIdentifier,BuyerAddressLine1,BuyerAddressLine3,BuyerCity,BuyerPostCode,BuyerCountryCode,ActualDeliveryDate,PaymentMeansTypeCode,PaymentRemittanceInformation,PaymentAccountIdentifier,BankAssignedCreditorIdentifier,DocumentLevelAllowanceAmount,DocumentLevelAllowanceBaseAmount,DocumentLevelAllowancePercentage,DocumentLevelAllowanceVatCategoryCode,DocumentLevelAllowanceVatRate,DocumentLevelAllowanceReason,DocumentLevelAllowanceReasonCode,DocumentLevelChargeAmount,DocumentLevelChargeBaseAmount,DocumentLevelChargePercentage,DocumentLevelChargeVatCategoryCode,DocumentLevelChargeVatRate,DocumentLevelChargeReason,DocumentLevelChargeReasonCode,SumOfInvoiceLineNetAmount,SumOfAllowancesOnDocumentLevel,SumOfChargesOnDocumentLevel,InvoiceTotalAmountWithoutVat,InvoiceTotalVatAmount,InvoiceTotalAmountWithVat,PaidAmount,RoundingAmount,AmountDueForPayment,VatCategoryTaxableAmount,VatCategoryTaxAmount,VatCategoryCode,VatCategoryRate,InvoiceLineIdentifier,InvoiceLineObjectIdentifier,InvoicedQuantity,InvoicedQuantityUnitCode,InvoiceLineNetAmount,ReferencedPurchaseOrderLineReference,InvoiceLineBuyerAccountingReference,InvoiceLinePeriodStartDate,InvoiceLinePeriodEndDate,InvoiceLineAllowanceAmount,InvoiceLineAllowanceBaseAmount,InvoiceLineAllowancePercentage,InvoiceLineAllowanceReason,InvoiceLineAllowanceReasonCode,InvoiceLineChargeAmount,InvoiceLineChargeBaseAmount,InvoiceLineChargePercentage,InvoiceLineChargeReason,InvoiceLineChargeReasonCode,ItemNetPrice,ItemPriceBaseQuantity,ItemPriceBaseQuantityUnitCode,InvoicedItemVatCategoryCode,InvoicedItemVatRate,ItemName,ItemDescription,ItemSellerIdentifier
1,1,,,,,,,,,,,,,,,,,,,,,SELLER-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BUYER-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,INV-2026-0001,2026-07-06,380,JPY,2026-08-05,BUYER-REF-001,Payment due within 30 days.,urn:fdc:peppol.eu:2017:poacc:billing:01:1.0,urn:cen.eu:en16931:2017#compliant#urn:fdc:peppol.eu:2017:poacc:billing:3.0,Seller Co. Ltd.,Seller Trading Name,,SELLER-REG,T1234567890123,1-1-1 Chiyoda,1-1-1 Chiyoda,Tokyo,100-0001,JP,Buyer Co. Ltd.,Buyer Trading Name,,BUYER-REG,2-2-2 Kita,2-2-2 Kita,Osaka,530-0001,JP,2026-07-05,,,,,,,,,,,,,,,,,,,10000,500,200,10000,1000,11000,1000,0,11000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,INV-2026-0001,,SELLER-ID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JP00BANK0000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,500,10000,5,S,10,Document level discount,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200,10000,2,S,10,Freight service,FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10000,1000,S,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,OBJ-001,10,EA,10000,PO-LINE-1,ACCT-100,2026-07-01,2026-07-31,,,,,,,,,,,1000,1,EA,S,10,Sample item,OpenPeppol UBL Invoice PoC sample item.,ITEM-001
1,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300,10000,3,Line discount,95,,,,,,,,,,,,,
1,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,10000,1,Handling charge,HD,,,,,,,,
