Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41,Column42,Column43,Column44,Column45,Column46,Column47,Column48,Column49,Column50,Column51,Column52,Column53,Column54,Column55,Column56,Column57,Column58,Column59,Column60,Column61,Column62,Column63,Column64,Column65,Column66,Column67,Column68,Column69,Column70,Column71,Column72,Column73,Column74,Column75,Column76,Column77,Column78,Column79,Column80,Column81
伝票日付,伝票番号,仕訳区分,管理仕訳区分,借方税計算モード,借方部門コード,借方部門名,借方科目コード,借方科目名,借方補助コード,借方補助名,借方税区分コード,借方税区分名,借方金額,借方消費税額,貸方税計算モード,貸方部門コード,貸方部門名,貸方科目コード,貸方科目名,貸方補助コード,貸方補助名,貸方税区分コード,貸方税区分名,貸方金額,貸方消費税額,摘要文,数字１,数字２,入力プログラム区分,配賦元税計算,配賦元集計方法,配賦元集計開始日付,配賦元集計終了日付,配賦元管理仕訳区分,配賦元部門コード,配賦元部門名,配賦元科目コード,配賦元科目名,配賦元補助コード,配賦元補助名,配賦元金額,数字３,数字４,数字５,金額１,金額２,金額３,金額４,金額５,文字列１,文字列２,文字列３,文字列４,文字列５,入力日付時間,借方取引先コード,借方取引先名,借方セグメント１コード,借方セグメント１名,借方セグメント２コード,借方セグメント２名,借方セグメント３コード,借方セグメント３名,貸方取引先コード,貸方取引先名,貸方セグメント１コード,貸方セグメント１名,貸方セグメント２コード,貸方セグメント２名,貸方セグメント３コード,貸方セグメント３名,配賦選択,配賦元取引先コード,配賦元取引先名,配賦元セグメント１コード,配賦元セグメント１名,配賦元セグメント２コード,配賦元セグメント２名,配賦元セグメント３コード,配賦元セグメント３名
20210402,900050,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,00,Out of scope,427020,0,1,D01,Demo Sales,4020,Demo Other Operating Revenue,C001,Demo Customer Aurora,B5,Taxable sale 10%,427020,38820,Synthetic demo credit sale 900050,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210402120000,C001,Demo Customer Aurora,,,,,,,C001,Demo Customer Aurora,,,,,,,,,,,,,,,
20210403,900001,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C004,Demo Customer Dawn,00,Out of scope,355310,0,1,D01,Demo Sales,4010,Demo Service Revenue,C004,Demo Customer Dawn,B5,Taxable sale 10%,355310,32301,Synthetic demo credit sale 900001,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210403120000,C004,Demo Customer Dawn,,,,,,,C004,Demo Customer Dawn,,,,,,,,,,,,,,,
20210403,900012,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C007,Demo Customer Grove,00,Out of scope,555650,0,1,D01,Demo Sales,4000,Demo Product Sales,C007,Demo Customer Grove,B5,Taxable sale 10%,555650,50514,Synthetic demo credit sale 900012,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210403120000,C007,Demo Customer Grove,,,,,,,C007,Demo Customer Grove,,,,,,,,,,,,,,,
20210404,900017,21,0,1,D04,Demo Logistics,2000,Demo Accounts Payable,V006,Demo Vendor Prairie,00,Out of scope,336970,0,1,D04,Demo Logistics,1120,Demo Harbor Ordinary Deposit,B003,Harbor Demo Bank,00,Out of scope,336970,0,Synthetic demo vendor settlement 900017,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210404120000,V006,Demo Vendor Prairie,,,,,,,B003,Harbor Demo Bank,,,,,,,,,,,,,,,
20210406,900006,21,0,1,D04,Demo Logistics,5000,Demo Purchases,V001,Demo Vendor Keystone,Q5,Taxable purchase 10%,367850,33441,1,D04,Demo Logistics,2000,Demo Accounts Payable,V001,Demo Vendor Keystone,00,Out of scope,367850,0,Synthetic demo purchase on account 900006,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,V001,Demo Vendor Keystone,,,,,,,V001,Demo Vendor Keystone,,,,,,,,,,,,,,,
20210406,900010,21,0,1,D01,Demo Sales,1200,Demo Accounts Receivable,C001,Demo Customer Aurora,00,Out of scope,228470,0,1,D01,Demo Sales,4010,Demo Service Revenue,C001,Demo Customer Aurora,B5,Taxable sale 10%,228470,20770,Synthetic demo credit sale 900010,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,C001,Demo Customer Aurora,,,,,,,C001,Demo Customer Aurora,,,,,,,,,,,,,,,
20210406,900024,21,0,1,D02,Demo Administration,6000,Demo Salaries,,,00,Out of scope,260850,0,1,D02,Demo Administration,1100,Demo Central Ordinary Deposit,B001,Demo Central Bank,00,Out of scope,686450,0,Synthetic demo monthly payroll bundle 900024,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,,,,,,,,,B001,Demo Central Bank,,,,,,,,,,,,,,,
20210406,900024,21,0,1,D02,Demo Administration,6010,Demo Statutory Welfare,,,00,Out of scope,253980,0,,,,,,,,,,,,Synthetic demo monthly payroll bundle 900024,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,,,,,,,,,,,,,,,,,,,,,,,,,
20210406,900024,21,0,1,D02,Demo Administration,2110,Demo Payroll Withholding,,,00,Out of scope,171620,0,,,,,,,,,,,,Synthetic demo monthly payroll bundle 900024,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,20210406120000,,,,,,,,,,,,,,,,,,,,,,,,,
