code,name,original_debit,original_credit,debit,credit,basis
111,現金,52505892,0,8138311,0,提供残高を暫定維持;v11：年間現金上限1000万円、余剰を両預金へほぼ等分
121,当座預金,9465403,0,42085093,0,提供残高を暫定維持;v10：普通預金から2092749円振替、長期借入金8343150円追加;v11：年間現金上限1000万円、余剰を両預金へほぼ等分
131,普通預金,4268602,0,39359643,0,承認済み：普通預金1500万円増額;v10：当座預金へ2092749円振替;v11：年間現金上限1000万円、余剰を両預金へほぼ等分
143,定期預金,4600000,0,4600000,0,提供残高を暫定維持
148,定期積金,2820000,0,2820000,0,提供残高を暫定維持
150,受取手形,77631436,0,59534189,0,提供残高を暫定維持;v12：期首手形を年度内決済6件合計に合わせ、開始残高調整用の繰越利益剰余金と各18097247円減額
151,電子記録債権,0,0,0,0,検討用：提供残高に記載なし。期首なしを仮定。実残高0の確認ではない
152,売掛金,8130812723,0,98170353,0,顧客26社翌月精算:4月消込。青凪商事株式会社の売掛内訳を含む
159,貸倒引当金,0,822674000,0,1758018,検討用：期首売掛金＋受取手形の1%。税務上の率ではない
161,有価証券,1271350,0,1271350,0,提供残高を暫定維持
171,商品,63013226,0,63013226,0,提供残高を暫定維持
183,短期貸付金,480000,0,480000,0,提供残高を暫定維持
191,仮払消費税等,2762581,0,2762581,0,提供残高を暫定維持
213,構築物,2001693400,0,3280000,0,検討用：重複除外後年164000円×残り20年、残存価額0
216,工具器具備品,953769200,0,4779810,0,検討用：重複除外後年955962円×残り5年、残存価額0
232,電話加入権,512000,0,512000,0,提供残高を暫定維持
244,差入保証金,1200000,0,1200000,0,提供残高を暫定維持
248,保険積立金,1528000,0,1528000,0,提供残高を暫定維持
249,敷金,3140000,0,3140000,0,提供残高を暫定維持
301,支払手形,0,52251735,0,52251735,提供残高を暫定維持
312,買掛金,0,264051101,0,64051101,仕入先11社翌月・4社翌々月精算。青凪商事株式会社買掛内訳を含む
321,短期借入金,0,7842000,0,7842000,既存の年間元本返済653500円×12か月。端数調整借入は撤回
322,未払金,0,57584692,0,7584692,月末発生・翌月末支払：4月支払実績
326,預り金,0,2309575,0,2309575,提供残高を暫定維持
327,未払事業税等,0,1862000,0,1862000,提供残高を暫定維持
328,未払法人税等,0,2864378,0,2864378,提供残高を暫定維持
335,仮受消費税等,0,6540636,0,6540636,提供残高を暫定維持
336,未払消費税等,0,4947100,0,4947100,提供残高を暫定維持
337,賞与引当金,0,32000000,0,2021000,6月賞与4042000円の1～3月分（3/6）。半年均等引当のサンプル仮定
341,長期借入金,0,14000000,0,37343150,承認済み：長期借入金1500万円増額。追加分の年度内元本返済は設定しない;v10：当座資金補充8343150円。追加分の年度内元本返済・利息追加は未設定
359,退職給付引当金,0,18560000,0,18560000,提供残高を暫定維持
360,役員退任慰労金,0,22000000,0,22000000,提供残高を暫定維持
411,資本金,0,8900000000,0,10000000,検討用：サンプルの資本金を1000万円に設定
421,資本準備金,0,1085000000,0,0,検討用：大規模な払込剰余金を設定しない
431,利益準備金,0,7200000,0,7200000,提供残高を暫定維持
432,別途積立金,0,4830000,0,4830000,提供残高を暫定維持
437,繰越利益剰余金,0,4956596,0,82709171,既定資産負債・資本から過年度利益のサンプル残額を再計算。実績ではない;v12：期首手形を年度内決済6件合計に合わせ、開始残高調整用の繰越利益剰余金と各18097247円減額
