sequence,syntax_sequence,level,lhm_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,path,semantic_path,label_local,definition_local,element,xpath
2,,1,1,A,,Invoice number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,/BG-ROOT/BT-1,$.invoice.invoiceNumber,Invoice_ID,"Unique identifier for each invoice. This ID may need to be created by concatenating fields such as document number, document type, and year to uniquely identify each transaction. The same ID must be used for all tables with invoice data.",gl-cor:documentReference,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentReference
2,,1,1,A,,Invoice number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,/BG-ROOT/BT-1,$.invoice.invoiceNumber,Invoice_Number,Identification number for an externally generated invoice.,gl-cor:documentNumber,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentNumber
3,,1,1,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,/BG-ROOT/BT-2,$.invoice.invoiceIssueDate,Invoice_Date,"The date of the invoice, regardless of the date the invoice is entered. This is the date from which the due date is calculated based on the invoice terms.",gl-cor:documentDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:documentDate
3,,1,1,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,/BG-ROOT/BT-2,$.invoice.invoiceIssueDate,Invoice_Fiscal_Year,Fiscal year in which the Invoice_Date occurs.,gl-bus:fiscalYearEnd,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:fiscalYearEnd
3,,1,1,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,/BG-ROOT/BT-2,$.invoice.invoiceIssueDate,Invoice_Period,Fiscal period in which the Invoice_Date occurs.,gl-bus:postingCode,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-bus:postingCode
9,,1,1,A,,Payment due date,Date,0..1,,The date when the payment is due.,en16931,Invoice,BT-9,/BG-ROOT/BT-9,$.invoice.paymentDueDate,Invoice_Due_Date,The date payment is due to the supplier. Not all transactions will have a due date. Aging of a payable is usually calculated based on this date.,gl-cor:maturityDate,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:maturityDate
13,,1,1,A,,Purchase order reference,Identifier,0..1,,"An identifier of a referenced purchase order, issued by the Buyer.",en16931,Invoice,BT-13,/BG-ROOT/BT-13,$.invoice.purchaseOrderReference,Purchase_Order_ID,"Unique identifier for each purchase order. Must match Purchase_Order_ID in the Purchase_Orders file. If no purchase order, leave blank.",gl-taf:originatingDocumentNumber,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-taf:originatingDocumentStructure[gl-taf:originatingDocumentType=""order-vendor""]/gl-taf:originatingDocumentNumber"
19,,1,1,A,,Buyer accounting reference,Text,0..1,,A textual value that specifies where to book the relevant data into the Buyer's financial accounts.,en16931,Invoice,BT-19,/BG-ROOT/BT-19,$.invoice.buyerAccountingReference,Business_Unit_Code,"Used to identify the business unit, region, branch, and so on at the level that financial statements are being audited. Must match the Business_Unit_Code in the Business_Unit_Listing file.",gl-bus:organizationIdentifier,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entityInformation/gl-bus:organizationIdentifiers/gl-bus:organizationIdentifier
33,,2,1,A,,Seller identifier,Identifier,0..*,,The identification scheme identifier of the Seller identifier. An identifier issued by an official,en16931,Seller,BT-29,/BG-ROOT/BG-4/BT-29,$.invoice.seller.sellerIdentifier,Supplier_Account_ID,Identifier of the supplier to whom payment is due or from whom unused credits have been applied. Must match the Supplier_Account_ID in the Supplier_Listing file.,gl-cor:identifierCode,"/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:identifierReference[gl-cor:identifierType=""V""]/gl-cor:identifierCode"
20,,1,1,A,,Payment terms,Text,0..1,,A textual description of the payment terms that apply to the amount due for payment (Including description of possible penalties). A group of business terms providing,en16931,Invoice,BT-20,/BG-ROOT/BT-20,$.invoice.paymentTerms,Terms_Discount_Percentage,The discount percentage the supplier may provide if an invoice is paid before a certain number of days.,gl-cor:terms,/xbrli:xbrl/gl-cor:accountingEntries/gl-cor:entryHeader/gl-cor:entryDetail/gl-cor:terms
