sequence,syntax_sequence,level,structured_csv_level,type,identifier,name,datatype,multiplicity,domain_name,definition,module,class_term,id,semantic_path,label_local,definition_local,structured_csv_column,element,xpath,default_value
1,0000,0,0,C,,Invoice,,1..1,,EN 16931 invoice semantic root.,en16931,Invoice,BG-ROOT,$.invoice,,,Invoice,Invoice,/Invoice,
24,0000,1,1,C,,Process control,,1..1,,information on the business process and rules applicable to the Invoice document. Identifies the business process,en16931,Process control,BG-2,$.invoice.processControl,,,ProcessControl,Invoice,/Invoice,
26,0000.0003,2,1,A,,Specification identifier,Identifier,1..1,,"regarding semantic content, cardinalities and business rules to",en16931,Process control,BT-24,$.invoice.processControl.specificationIdentifier,,,SpecificationIdentifier,cbc:CustomizationID,/Invoice/cbc:CustomizationID,
25,0000.0004,2,1,A,,Business process type,Identifier,0..1,,"context in which the transaction appears, to enable the Buyer to process the Invoice in an appropriate way. An identification of the specification containing the total set of rules",en16931,Process control,BT-23,$.invoice.processControl.businessProcessType,,,BusinessProcessType,cbc:ProfileID,/Invoice/cbc:ProfileID,
2,0000.0006,1,1,A,,Invoice number,Identifier,1..1,,An invoice shall have an invoice number.,en16931,Invoice,BT-1,$.invoice.invoiceNumber,,,InvoiceNumber,cbc:ID,/Invoice/cbc:ID,
3,0000.0009,1,1,A,,Invoice issue date,Date,1..1,,The date when the invoice was issued.,en16931,Invoice,BT-2,$.invoice.invoiceIssueDate,,,InvoiceIssueDate,cbc:IssueDate,/Invoice/cbc:IssueDate,
9,0000.0011,1,1,A,,Payment due date,Date,0..1,,The date when the payment is due.,en16931,Invoice,BT-9,$.invoice.paymentDueDate,,,PaymentDueDate,cbc:DueDate,/Invoice/cbc:DueDate,
4,0000.0012,1,1,A,,Invoice type code,Code,1..1,,Code specifying the functional type of invoice.,en16931,Invoice,BT-3,$.invoice.invoiceTypeCode,,,InvoiceTypeCode,cbc:InvoiceTypeCode,/Invoice/cbc:InvoiceTypeCode,
21,0000.0013,1,1,C,,Invoice note,,0..*,,"textual notes that are relevant for the invoice, together with an indication of the note subject.",en16931,Invoice note,BG-1,$.invoice.invoiceNote,,,InvoiceInvoiceNote,cbc:Note,/Invoice/cbc:Note,
23,0000.0013,2,2,A,,Invoice note,Text,1..1,,unstructured information that is relevant to the Invoice as a whole. A group of business terms providing,en16931,Invoice note,BT-22,$.invoice.invoiceNote.invoiceNote,,,InvoiceNoteInvoiceNote,cbc:Note,/Invoice/cbc:Note,
22,0000.0013.@subjectCode,2,2,A,,Invoice note subject code,Code,0..1,,The subject of the textual note in BT-22. A textual note that gives,en16931,Invoice note,BT-21,$.invoice.invoiceNote.invoiceNoteSubjectCode,,,InvoiceNoteSubjectCode,cbc:Note,/Invoice/cbc:Note/@subjectCode,
